season,rank,name,short_name,matchesplayed,matcheswon,matcheslost,noresult,matchpoints,nrr,for,against,runs_for,overs_for,runs_against,overs_against
2010,6,KKR,KKR,14,7,7,0,14,-0.341,2144/273.0,2192/267.3,2144.0,273.0,2192.0,267.3
2010,7,RR,RR,14,6,8,0,12,-0.514,2179/270.4,2224/259.4,2179.0,270.4,2224.0,259.4
2010,8,Kings XI Punjab,KXIP,14,4,10,0,8,-0.478,2278/276.2,2365/271.1,2278.0,276.2,2365.0,271.1
2009,1,DC,DC,14,10,4,0,20,0.311,1978/255.2,1953/262.4,1978.0,255.2,1953.0,262.4
2009,2,CSK,CSK,14,8,5,1,17,0.951,2086/255.3,1855/257.1,2086.0,255.3,1855.0,257.1
2009,3,RCB,RCB,14,8,6,0,16,-0.191,1994/276.0,2027/273.2,1994.0,276.0,2027.0,273.2
2009,4,Deccan Chargers,SRH,14,7,7,0,14,0.203,2111/272.4,2097/278.1,2111.0,272.4,2097.0,278.1
2009,5,Kings XI Punjab,KXIP,14,7,7,0,14,-0.483,1787/251.2,1887/248.3,1787.0,251.2,1887.0,248.3
2009,6,RR,RR,14,6,7,1,13,-0.352,1688/253.1,1810/257.5,1688.0,253.1,1810.0,257.5
2009,7,MI,MI,14,5,8,1,11,0.297,1897/256.2,1802/253.4,1897.0,256.2,1802.0,253.4
2009,8,KKR,KKR,14,3,10,1,7,-0.789,1757/248.5,1867/237.5,1757.0,248.5,1867.0,237.5
2008,1,RR,RR,14,11,3,0,22,0.632,2245/261.1,2153/270.2,2245.0,261.1,2153.0,270.2
2008,2,Kings XI Punjab,KXIP,14,10,4,0,20,0.509,2352/259.5,2271/265.5,2352.0,259.5,2271.0,265.5
2008,3,CSK,CSK,14,8,6,0,16,-0.192,2241/264.2,2195/253.1,2241.0,264.2,2195.0,253.1
2008,4,DC,DC,14,7,6,1,15,0.342,2001/233.2,2031/246.4,2001.0,233.2,2031.0,246.4
2008,5,MI,MI,14,7,7,0,14,0.57,2080/249.1,2096/269.3,2080.0,249.1,2096.0,269.3
2008,6,KKR,KKR,14,6,7,1,13,-0.147,1845/242.4,1718/221.4,1845.0,242.4,1718.0,221.4
2008,7,RCB,RCB,14,4,10,0,8,-1.16,1983/272.4,2205/261.3,1983.0,272.4,2205.0,261.3
2008,8,Deccan Chargers,SRH,14,2,12,0,4,-0.467,2229/270.0,2307/264.3,2229.0,270.0,2307.0,264.3
